[lrno],[vesselname],[owner],[shipmanager],[operator],[flag],[dwt],[loa],[breadth],[depth],[statdecode]
9327748,TARIFA,Tarifa Maritime Ltd,Ray Car Carriers Ltd,EUKOR Car Carriers Inc,BAH,21120,199.94999694824219,32.25,32.729999542236328,Vehicles Carrier
9590589,GLOVIS CENTURY,GL NV1 Shipping Inc,Hyundai Glovis Co Ltd,Hyundai Glovis Co Ltd,PAN,20895,199.97999572753906,32.259998321533203,32.639999389648438,Vehicles Carrier
8602579,TRINIDAD,Wilhelmsen Lines Shipowning AS,Wilhelmsen Lines Car Carrier,Wallenius Wilhelmsen Logistics,NIS,15528,190.0,32.229999542236328,13.920000076293945,Vehicles Carrier
9295842,HOEGH BERLIN,Mare Berlin Schiffahrts GmbH,Hoegh Fleet Services AS,Hoegh Autoliners AS,BAH,27176,228.74000549316406,32.259998321533203,32.590000152587891,Vehicles Carrier
9185047,UNITED SPIRIT,Secure Shipping Co Ltd,Nissan Motor Car Carrier,Nissan Motor Car Carrier,LIB,14067,174.97999572753906,29.200000762939453,28.600000381469727,Vehicles Carrier
9088249,HOEGH INCHON,Hoegh Autoliners Shpg Pte Ltd,Hoegh Autoliners AS,Hoegh Autoliners AS,SNG,12490,179.47500610351563,32.200000762939453,29.600000381469727,Vehicles Carrier
9272888,INDIANA HIGHWAY,Kawasaki Kisen Kaisha Ltd,Taiyo Nippon Kisen Co Ltd,Kawasaki Kisen Kaisha Ltd,JPN,17442,199.94000244140625,32.200000762939453,33.740001678466797,Vehicles Carrier
9610406,VICTORIOUS ACE,White Bear Maritime Ltd,Mitsui OSK Lines Ltd,Mitsui OSK Lines Ltd,PAN,18396,199.94999694824219,32.200000762939453,34.200000762939453,Vehicles Carrier
9481049,VIKING AMBER,Gram Car Carriers Holdings,Gram & Co AS,Eastern Car Liner Ltd,SNG,12471,167.25,28.0,30.090000152587891,Vehicles Carrier
8502468,CENTURY LEADER NO. 3,NYK Line,Hachiuma Steamship Co Ltd,NYK Line,JPN,14155,178.5,32.209999084472656,20.629999160766602,Vehicles Carrier
9362267,LONDON HIGHWAY,ISC 1400 Shipping SA,Taiyo Nippon Kisen Co Ltd,Kawasaki Kisen Kaisha Ltd,PAN,17765,199.94000244140625,32.200000762939453,33.740001678466797,Vehicles Carrier
9325180,CSAV RIO NEVADO,Lombard Corporate December 3,Zodiac Maritime Ltd,CSAV,LIB,12322,182.80000305175781,31.5,31.799999237060547,Vehicles Carrier
9372315,LUNA SPIRIT,Mizuho Sangyo/Fair Wind Nav,Nissan Motor Car Carrier,Nissan Motor Car Carrier,PAN,15261,180.0,30.0,33.520000457763672,Vehicles Carrier
