ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2022-07-20,251362.11454626606,-22403.300780810438,669240.8194125445,238313.46766329312,264871.8858025683,63306.61417970685,-255643.89773498368,391947.80913261865,63306.61417970685,-255643.89773498368,391947.80913261865,0.0,0.0,0.0,314668.72872597293
2022-07-21,251379.3904300641,3414.5711749257666,664603.9254051542,238327.8032721495,264892.28135612863,74685.62843918843,-241865.01919571141,389607.9954153737,74685.62843918843,-241865.01919571141,389607.9954153737,0.0,0.0,0.0,326065.0188692525
2022-07-22,251396.6663138622,32814.54629630305,647703.3702302164,238342.13888100593,264912.67690968915,90442.20902965254,-203028.8579795319,387351.81111790903,90442.20902965254,-203028.8579795319,387351.81111790903,0.0,0.0,0.0,341838.8753435147
2022-07-23,251413.94219766025,72575.18118075716,653813.0061177997,238356.47448986227,264931.9305992246,110237.6194318152,-163604.3126981283,386427.24780792935,110237.6194318152,-163604.3126981283,386427.24780792935,0.0,0.0,0.0,361651.56162947544
2022-07-24,251431.2180814584,114926.67219613284,653942.7071655334,238370.8100987187,264950.320903764,133643.6936946067,-119889.53084873794,386147.31066987163,133643.6936946067,-119889.53084873794,386147.31066987163,0.0,0.0,0.0,385074.9117760651
2022-07-25,251448.49396525646,168589.90055116208,654592.6467833384,238385.14570757508,264968.7112083032,160153.50061928152,-72009.10374214264,387796.4986481202,160153.50061928152,-72009.10374214264,387796.4986481202,0.0,0.0,0.0,411601.994584538
2022-07-26,251465.76984905454,225783.10627232926,658071.3992718426,238399.48131643148,264987.10151284264,189193.85726333855,-19944.278150274145,390700.86315196427,189193.85726333855,-19944.278150274145,390700.86315196427,0.0,0.0,0.0,440659.6271123931
2022-07-27,251483.0457328526,280419.1786739169,660375.2752758319,238413.81692528786,265005.49181738193,220139.358755286,41366.05763014148,392805.2592514904,220139.358755286,41366.05763014148,392805.2592514904,0.0,0.0,0.0,471622.4044881386
2022-07-28,251500.3216166507,333783.5377403835,662341.1324446697,238428.1525341443,265023.8821219213,252327.5540484578,105598.51014469186,393919.79771565873,252327.5540484578,105598.51014469186,393919.79771565873,0.0,0.0,0.0,503827.8756651085
2022-07-29,251517.59750044876,402741.1225240875,670208.9958857618,238442.48814300064,265042.2724264606,285074.8700201406,171576.3324560751,393595.3200936217,285074.8700201406,171576.3324560751,393595.3200936217,0.0,0.0,0.0,536592.4675205894
2022-07-30,251534.87338424692,466213.8616995684,673795.44506681,238456.82375185707,265060.662731,317692.8699344574,240496.63102118106,391019.28710990516,317692.8699344574,240496.63102118106,391019.28710990516,0.0,0.0,0.0,569227.7433187043
2022-07-31,251552.14926804494,518940.39325963974,696110.7423559234,238471.15936071344,265079.05303553917,349504.427105888,308092.75124366203,387972.76916443027,349504.427105888,308092.75124366203,387972.76916443027,0.0,0.0,0.0,601056.576373933
2022-08-01,251569.42515184305,560099.2604294138,707479.1665951614,238485.49496956985,265097.4433400786,379859.40070620365,367308.395581529,391992.00555058493,379859.40070620365,367308.395581529,391992.00555058493,0.0,0.0,0.0,631428.8258580468
2022-08-02,251586.7010356411,576459.691805994,743807.926679657,238499.83057842622,265115.8336446179,408149.4177982452,375925.687662866,443203.6357317872,408149.4177982452,375925.687662866,443203.6357317872,0.0,0.0,0.0,659736.1188338863
